cid,uid,tid,did
0,2,755,74
1,113,362,69
1,113,362,69
2,300,997,10
2,300,997,10
2,300,997,10
2,300,997,10
2,300,997,10
2,300,997,10
3,38,201,14
3,38,201,14
3,38,201,14
3,38,201,14
3,38,201,14
3,38,201,14
3,38,201,14
3,38,201,14
4,364,592,70
4,364,592,70
4,364,592,70
4,364,592,70
4,364,592,70
4,364,592,70
4,364,592,70
5,144,1087,10
5,144,1087,10
6,217,678,85
6,217,678,85
6,217,678,85
6,217,678,85
6,217,678,85
6,217,678,85
7,250,434,45
7,250,434,45
7,250,434,45
7,250,434,45
7,250,434,45
7,250,434,45
8,236,413,101
8,236,413,101
8,236,413,101
9,107,453,24
9,107,453,24
9,107,453,24
10,356,920,58
11,230,820,26
11,230,820,26
11,230,820,26
12,287,1040,72
12,287,1040,72
12,287,1040,72
12,287,1040,72
12,287,1040,72
13,115,713,19
13,115,713,19
13,115,713,19
13,115,713,19
13,115,713,19
13,115,713,19
14,246,573,22
14,246,573,22
14,246,573,22
14,246,573,22
14,246,573,22
14,246,573,22
15,348,869,70
15,348,869,70
15,348,869,70
16,20,827,26
16,20,827,26
16,20,827,26
17,234,763,32
17,234,763,32
17,234,763,32
17,234,763,32
17,234,763,32
17,234,763,32
17,234,763,32
17,234,763,32
18,198,274,31
18,198,274,31
18,198,274,31
18,198,274,31
18,198,274,31
18,198,274,31
19,278,464,76
19,278,464,76
19,278,464,76
19,278,464,76
19,278,464,76
19,278,464,76
20,94,849,84
20,94,849,84
20,94,849,84
20,94,849,84
20,94,849,84
20,94,849,84
20,94,849,84
20,94,849,84
21,84,860,38
21,84,860,38
21,84,860,38
21,84,860,38
21,84,860,38
21,84,860,38
21,84,860,38
21,84,860,38
22,164,814,28
22,164,814,28
22,164,814,28
22,164,814,28
22,164,814,28
22,164,814,28
22,164,814,28
23,323,328,34
23,323,328,34
23,323,328,34
23,323,328,34
23,323,328,34
23,323,328,34
23,323,328,34
23,323,328,34
24,216,209,88
24,216,209,88
24,216,209,88
24,216,209,88
24,216,209,88
24,216,209,88
25,238,1012,72
25,238,1012,72
25,238,1012,72
25,238,1012,72
25,238,1012,72
25,238,1012,72
25,238,1012,72
25,238,1012,72
26,287,67,72
26,287,67,72
26,287,67,72
26,287,67,72
26,287,67,72
27,330,173,71
27,330,173,71
27,330,173,71
27,330,173,71
27,330,173,71
27,330,173,71
27,330,173,71
27,330,173,71
28,144,1087,11
28,144,1087,11
28,144,1087,11
28,144,1087,11
29,0,940,5
29,0,940,5
29,0,940,5
29,0,940,5
30,286,300,34
30,286,300,34
30,286,300,34
30,286,300,34
30,286,300,34
31,303,405,78
31,303,405,78
31,303,405,78
31,303,405,78
31,303,405,78
31,303,405,78
31,303,405,78
32,259,1045,58
32,259,1045,58
32,259,1045,58
32,259,1045,58
32,259,1045,58
33,112,557,3
33,112,557,3
33,112,557,3
33,112,557,3
33,112,557,3
34,144,465,23
34,144,465,23
35,187,435,61
35,187,435,61
35,187,435,61
35,187,435,61
35,187,435,61
35,187,435,61
36,93,588,16
37,303,569,72
37,303,569,72
37,303,569,72
37,303,569,72
38,232,51,70
38,232,51,70
38,232,51,70
38,232,51,70
39,232,51,70
39,232,51,70
40,35,279,74
40,35,279,74
40,35,279,74
40,35,279,74
40,35,279,74
40,35,279,74
41,184,83,35
42,107,467,70
42,107,467,70
42,107,467,70
42,107,467,70
43,61,961,52
43,61,961,52
43,61,961,52
43,61,961,52
43,61,961,52
43,61,961,52
43,61,961,52
43,61,961,52
44,305,1091,33
44,305,1091,33
44,305,1091,33
44,305,1091,33
44,305,1091,33
45,35,85,46
45,35,85,46
45,35,85,46
46,18,197,66
46,18,197,66
46,18,197,66
46,18,197,66
46,18,197,66
46,18,197,66
46,18,197,66
47,163,575,1
47,163,575,1
47,163,575,1
48,77,611,37
48,77,611,37
48,77,611,37
48,77,611,37
48,77,611,37
48,77,611,37
48,77,611,37
48,77,611,37
49,226,851,33
49,226,851,33
49,226,851,33
49,226,851,33
50,124,6,44
50,124,6,44
50,124,6,44
51,289,726,49
51,289,726,49
51,289,726,49
51,289,726,49
51,289,726,49
52,281,202,47
52,281,202,47
52,281,202,47
52,281,202,47
52,281,202,47
53,245,287,85
53,245,287,85
53,245,287,85
53,245,287,85
53,245,287,85
53,245,287,85
53,245,287,85
54,152,218,13
54,152,218,13
54,152,218,13
55,135,964,14
55,135,964,14
56,59,703,10
56,59,703,10
56,59,703,10
57,179,581,15
58,300,997,22
58,300,997,22
58,300,997,22
58,300,997,22
58,300,997,22
58,300,997,22
58,300,997,22
58,300,997,22
59,246,573,10
59,246,573,10
59,246,573,10
59,246,573,10
59,246,573,10
60,221,48,17
60,221,48,17
60,221,48,17
60,221,48,17
60,221,48,17
60,221,48,17
60,221,48,17
60,221,48,17
61,287,374,79
61,287,374,79
62,138,474,15
62,138,474,15
62,138,474,15
62,138,474,15
62,138,474,15
62,138,474,15
63,156,878,74
63,156,878,74
63,156,878,74
64,20,147,5
64,20,147,5
64,20,147,5
64,20,147,5
65,270,282,95
65,270,282,95
65,270,282,95
65,270,282,95
65,270,282,95
65,270,282,95
66,2,451,60
66,2,451,60
66,2,451,60
66,2,451,60
66,2,451,60
67,113,1042,5
67,113,1042,5
67,113,1042,5
67,113,1042,5
67,113,1042,5
68,16,253,5
68,16,253,5
68,16,253,5
69,232,101,24
69,232,101,24
69,232,101,24
69,232,101,24
69,232,101,24
69,232,101,24
69,232,101,24
70,250,68,96
70,250,68,96
71,163,575,13
71,163,575,13
71,163,575,13
71,163,575,13
71,163,575,13
71,163,575,13
71,163,575,13
71,163,575,13
72,205,1082,34
72,205,1082,34
73,153,391,5
73,153,391,5
73,153,391,5
73,153,391,5
73,153,391,5
73,153,391,5
74,61,961,0
74,61,961,0
74,61,961,0
74,61,961,0
74,61,961,0
74,61,961,0
75,293,449,16
75,293,449,16
75,293,449,16
75,293,449,16
75,293,449,16
75,293,449,16
75,293,449,16
76,294,1022,0
76,294,1022,0
76,294,1022,0
76,294,1022,0
77,257,446,32
77,257,446,32
78,51,254,30
78,51,254,30
78,51,254,30
78,51,254,30
78,51,254,30
78,51,254,30
78,51,254,30
79,94,849,17
80,91,396,60
80,91,396,60
80,91,396,60
80,91,396,60
81,33,338,11
81,33,338,11
81,33,338,11
81,33,338,11
81,33,338,11
81,33,338,11
81,33,338,11
82,86,42,32
82,86,42,32
82,86,42,32
83,276,7,43
84,14,926,64
84,14,926,64
84,14,926,64
84,14,926,64
85,319,562,63
86,123,18,35
86,123,18,35
87,150,470,68
87,150,470,68
87,150,470,68
87,150,470,68
87,150,470,68
87,150,470,68
88,87,603,6
89,117,216,69
89,117,216,69
89,117,216,69
89,117,216,69
90,355,1046,78
90,355,1046,78
91,230,219,5
91,230,219,5
91,230,219,5
92,77,611,10
92,77,611,10
92,77,611,10
92,77,611,10
92,77,611,10
93,227,507,94
93,227,507,94
93,227,507,94
93,227,507,94
93,227,507,94
93,227,507,94
93,227,507,94
93,227,507,94
94,283,543,10
94,283,543,10
94,283,543,10
94,283,543,10
94,283,543,10
94,283,543,10
94,283,543,10
94,283,543,10
95,65,403,101
95,65,403,101
95,65,403,101
95,65,403,101
95,65,403,101
95,65,403,101
95,65,403,101
96,154,875,46
97,265,137,76
97,265,137,76
97,265,137,76
97,265,137,76
97,265,137,76
98,208,409,96
98,208,409,96
98,208,409,96
98,208,409,96
99,49,612,53
99,49,612,53
99,49,612,53
99,49,612,53
99,49,612,53
99,49,612,53
99,49,612,53
99,49,612,53
100,278,464,70
100,278,464,70
100,278,464,70
100,278,464,70
100,278,464,70
100,278,464,70
101,336,598,90
101,336,598,90
101,336,598,90
101,336,598,90
102,260,353,32
102,260,353,32
102,260,353,32
102,260,353,32
102,260,353,32
102,260,353,32
102,260,353,32
103,351,963,50
103,351,963,50
103,351,963,50
103,351,963,50
103,351,963,50
103,351,963,50
103,351,963,50
104,174,224,61
104,174,224,61
104,174,224,61
104,174,224,61
104,174,224,61
104,174,224,61
104,174,224,61
104,174,224,61
105,349,797,62
105,349,797,62
105,349,797,62
105,349,797,62
105,349,797,62
105,349,797,62
105,349,797,62
106,330,173,59
106,330,173,59
107,169,609,4
107,169,609,4
107,169,609,4
107,169,609,4
107,169,609,4
107,169,609,4
108,318,861,18
109,304,764,76
109,304,764,76
109,304,764,76
109,304,764,76
109,304,764,76
109,304,764,76
109,304,764,76
109,304,764,76
110,121,427,101
110,121,427,101
110,121,427,101
111,355,152,35
111,355,152,35
111,355,152,35
111,355,152,35
112,91,886,58
112,91,886,58
112,91,886,58
112,91,886,58
112,91,886,58
112,91,886,58
113,338,139,19
113,338,139,19
113,338,139,19
113,338,139,19
113,338,139,19
113,338,139,19
113,338,139,19
113,338,139,19
114,346,677,51
114,346,677,51
114,346,677,51
114,346,677,51
114,346,677,51
114,346,677,51
115,46,638,33
115,46,638,33
116,229,674,51
116,229,674,51
116,229,674,51
117,306,1026,86
117,306,1026,86
117,306,1026,86
117,306,1026,86
118,321,378,72
118,321,378,72
118,321,378,72
118,321,378,72
118,321,378,72
118,321,378,72
118,321,378,72
119,119,455,73
119,119,455,73
