ddid,tid,did
0,83,442
1,27,442
2,100,442
3,71,442
4,47,442
5,69,442
6,88,442
7,21,442
8,46,442
9,96,442
10,6,442
11,91,442
12,90,442
13,82,442
14,74,442
15,30,442
16,15,442
17,20,442
18,22,442
19,38,442
20,0,442
21,35,442
22,26,442
23,40,442
24,78,442
25,3,442
26,37,442
27,10,442
28,59,442
29,5,442
30,67,442
31,99,442
32,81,442
33,4,442
34,42,442
35,61,442
36,9,442
37,67,1049
38,72,1049
39,10,1049
40,93,1049
41,37,1049
42,62,1049
43,28,1049
44,40,1049
45,58,1049
46,1,1049
47,2,1049
48,45,1049
49,19,1049
50,5,1049
51,90,1049
52,14,1049
53,95,1049
54,34,1049
55,82,1049
56,77,1049
57,97,1049
58,52,1049
59,69,1049
60,51,1049
61,0,1049
62,13,1049
63,17,1049
64,8,1049
65,29,1049
66,30,1049
67,16,1049
68,60,1049
69,56,1049
70,20,1018
71,97,1018
72,30,1018
73,14,1018
74,81,1018
75,32,1018
76,48,1018
77,45,1018
78,79,1018
79,11,1018
80,59,1018
81,60,1018
82,74,1018
83,35,1018
84,72,1018
85,8,1018
86,21,1018
87,56,1018
88,34,1018
89,84,1018
90,17,1018
91,101,1018
92,67,1018
93,77,1018
94,15,1018
95,88,1018
96,63,1018
97,7,1018
98,85,1018
99,38,1018
100,96,1018
101,68,1018
102,75,1018
103,42,1018
104,95,1018
105,54,1018
106,29,1018
107,58,1018
108,16,1018
109,83,665
110,27,665
111,100,665
112,71,665
113,47,665
114,69,665
115,88,665
116,21,665
117,46,665
118,96,665
119,6,665
120,91,665
121,90,665
122,82,665
123,74,665
124,30,665
125,15,665
126,20,665
127,22,665
128,38,665
129,0,665
130,35,665
131,26,665
132,40,665
133,78,665
134,3,665
135,37,665
136,10,665
137,59,665
138,5,665
139,67,665
140,99,665
141,81,665
142,4,665
143,42,665
144,61,665
145,9,665
146,76,883
147,24,883
148,86,883
149,36,883
150,70,883
151,80,883
152,55,883
153,83,519
154,27,519
155,100,519
156,71,519
157,47,519
158,69,519
159,88,519
160,21,519
161,46,519
162,96,519
163,6,519
164,91,519
165,90,519
166,82,519
167,74,519
168,30,519
169,15,519
170,20,519
171,22,519
172,38,519
173,0,519
174,35,519
175,26,519
176,40,519
177,78,519
178,3,519
179,37,519
180,10,519
181,59,519
182,5,519
183,67,519
184,99,519
185,81,519
186,4,519
187,42,519
188,61,519
189,9,519
190,33,593
191,50,593
192,57,593
193,66,593
194,65,593
195,31,593
196,73,593
197,18,593
198,41,593
199,43,593
200,53,593
201,64,593
202,87,593
203,89,593
204,44,593
205,81,664
206,58,664
207,63,664
208,40,664
209,32,664
210,23,664
211,61,664
212,72,664
213,68,664
214,9,664
215,15,664
216,0,664
217,82,664
218,14,664
219,62,664
220,27,664
221,47,664
222,4,664
223,93,664
224,22,664
225,16,664
226,74,664
227,39,664
228,46,664
229,49,664
230,6,664
231,10,664
232,2,664
233,83,664
234,79,664
235,38,664
236,5,664
237,34,664
238,33,197
239,50,197
240,57,197
241,66,197
242,65,197
243,31,197
244,73,197
245,18,197
246,41,197
247,43,197
248,53,197
249,64,197
250,87,197
251,89,197
252,44,197
253,67,476
254,72,476
255,10,476
256,93,476
257,37,476
258,62,476
259,28,476
260,40,476
261,58,476
262,1,476
263,2,476
264,45,476
265,19,476
266,5,476
